episode,reward,length,success,total_steps
386,-3473.7642,500,False,186320
,,,,186368
387,100.0,1,True,186369
388,-4252.3066,500,False,186869
389,-2112.7092,500,False,187369
390,-4173.4097,500,False,187869
391,-3687.3887,500,False,188369
,,,,188416
392,76.79755,20,True,188436
393,-1653.5643,500,False,188936
394,-4568.5435,500,False,189436
395,-2932.657,500,False,189936
396,-3541.7896,500,False,190436
,,,,190464
397,-5713.605,500,False,190964
398,-4867.2217,500,False,191464
399,-5121.2183,500,False,191964
400,-2696.5735,500,False,192464
,,,,192512
401,-4296.761,500,False,193012
402,-4731.8667,500,False,193512
403,-3744.6426,500,False,194012
404,-3190.3818,500,False,194512
,,,,194560
405,-3573.8298,500,False,195060
406,-4436.4746,500,False,195560
407,-4555.167,500,False,196060
408,-4665.662,500,False,196560
,,,,196608
409,-3329.2822,500,False,197108
410,-3521.6577,500,False,197608
411,-4533.5864,500,False,198108
412,-2824.1626,500,False,198608
,,,,198656
413,-3289.4631,500,False,199156
414,-3320.3,500,False,199656
415,-4361.655,500,False,200156
416,-3638.8215,500,False,200656
,,,,200704
417,-3921.6235,500,False,201204
418,-3069.15,500,False,201704
419,-4743.718,500,False,202204
420,-4314.1084,500,False,202704
,,,,202752
421,100.0,1,True,202753
422,-2321.6023,500,False,203253
423,-4030.2197,500,False,203753
424,100.0,1,True,203754
425,-3828.139,500,False,204254
426,-4232.745,500,False,204754
,,,,204800
427,-4679.6055,500,False,205300
428,-3515.0786,500,False,205800
429,-4648.2925,500,False,206300
430,-3773.1094,500,False,206800
,,,,206848
431,-4083.7266,500,False,207348
432,-2426.5676,500,False,207848
433,-4458.5884,500,False,208348
434,-3084.5083,500,False,208848
,,,,208896
435,-5274.7837,500,False,209396
436,-3411.2756,500,False,209896
437,-4339.877,500,False,210396
438,-4225.966,500,False,210896
,,,,210944
439,-2446.4604,500,False,211444
440,-4638.9907,500,False,211944
441,-3890.4243,500,False,212444
442,-3285.721,500,False,212944
,,,,212992
443,-3440.2566,500,False,213492
